Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS\
163,Draymond Green\\greendr01,PF,28,GSW,11,11,329,33,69,.478,6,23,.261,27,46,.587,.522,12,18,.667,10,69,79,87,20,10,34,34,84\
164,Gerald Green\\greenge01,SG,33,HOU,11,0,202,28,77,.364,15,58,.259,13,19,.684,.461,6,7,.857,8,23,31,6,3,1,7,18,77\
165,JaMychal Green\\greenja01,PF,28,MEM,2,2,39,6,15,.400,1,2,.500,5,13,.385,.433,2,2,1.000,4,8,12,4,4,0,4,4,15\
166,Jeff Green\\greenje02,PF,32,WAS,12,1,299,45,93,.484,8,31,.258,37,62,.597,.527,29,30,.967,19,42,61,11,5,8,17,26,127\
167,Blake Griffin\\griffbl01,PF,29,DET,12,12,424,100,221,.452,25,69,.362,75,152,.493,.509,64,88,.727,22,100,122,60,9,6,40,38,289\
168,Tim Hardaway\\hardati02,SG,26,NYK,13,13,419,99,238,.416,39,110,.355,60,128,.469,.498,64,77,.831,4,41,45,39,13,1,26,39,301\
169,James Harden\\hardeja01,SG,29,HOU,9,9,326,74,177,.418,38,101,.376,36,76,.474,.525,65,82,.793,5,46,51,66,20,7,49,28,251\
170,Maurice Harkless\\harklma01,SF,25,POR,5,0,88,7,18,.389,3,8,.375,4,10,.400,.472,2,2,1.000,3,21,24,5,2,6,2,10,19\
171,Montrezl Harrell\\harremo01,C,25,LAC,12,0,271,62,91,.681,0,0,,62,91,.681,.681,42,61,.689,19,56,75,16,11,21,20,34,166\
172,Devin Harris\\harride01,PG,35,DAL,2,0,18,3,6,.500,0,2,.000,3,4,.750,.500,0,0,,0,3,3,4,1,0,0,1,6\
173,Gary Harris\\harriga01,SG,24,DEN,13,13,434,81,189,.429,17,62,.274,64,127,.504,.474,43,54,.796,13,35,48,38,15,6,16,30,222\
174,Joe Harris\\harrijo01,SG,27,BRK,13,13,379,68,119,.571,37,64,.578,31,55,.564,.727,9,11,.818,10,31,41,29,7,2,22,39,182\
175,Tobias Harris\\harrito02,PF,26,LAC,12,12,407,94,183,.514,22,53,.415,72,130,.554,.574,38,46,.826,12,95,107,22,5,8,20,21,248\
176,Andrew Harrison\\harrian01,PG,24,TOT,2,0,19,1,6,.167,0,2,.000,1,4,.250,.167,0,0,,0,3,3,0,0,0,3,1,2\
176,Andrew Harrison\\harrian01,PG,24,MEM,1,0,5,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,1,2\
176,Andrew Harrison\\harrian01,G,24,CLE,1,0,14,0,4,.000,0,1,.000,0,3,.000,.000,0,0,,0,3,3,0,0,0,3,0,0\
177,Shaquille Harrison\\harrish01,PG,25,CHI,4,0,54,11,21,.524,2,6,.333,9,15,.600,.571,5,11,.455,3,8,11,11,5,0,5,7,29\
178,Josh Hart\\hartjo01,SG,23,LAL,13,3,349,51,111,.459,30,69,.435,21,42,.500,.595,21,30,.700,5,44,49,17,22,5,14,32,153\
179,Isaiah Hartenstein\\harteis01,PF,20,HOU,11,0,91,10,22,.455,0,2,.000,10,20,.500,.455,5,6,.833,10,8,18,6,2,7,7,21,25\
180,Udonis Haslem\\hasleud01,C,38,MIA,1,0,4,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,0,0,0,2,1,0\
181,Gordon Hayward\\haywago01,SF,28,BOS,12,12,307,44,111,.396,15,47,.319,29,64,.453,.464,16,21,.762,11,55,66,34,10,3,14,21,119\
182,John Henson\\hensojo01,C,28,MIL,13,0,183,31,65,.477,11,29,.379,20,36,.556,.562,6,10,.600,16,52,68,13,7,11,12,16,79\
183,Juan Hernangomez\\hernaju01,PF,23,DEN,12,1,242,28,56,.500,15,34,.441,13,22,.591,.634,7,9,.778,17,29,46,6,6,6,6,17,78\
184,Willy Hernangomez\\hernawi01,C,24,CHO,12,0,178,31,55,.564,8,12,.667,23,43,.535,.636,25,32,.781,26,39,65,11,6,8,13,29,95\
185,Mario Hezonja\\hezonma01,SF,23,NYK,14,0,275,53,132,.402,14,48,.292,39,84,.464,.455,12,22,.545,3,49,52,16,9,2,18,26,132\
186,Buddy Hield\\hieldbu01,SG,25,SAC,13,13,409,95,198,.480,31,72,.431,64,126,.508,.558,27,31,.871,13,63,76,34,6,7,32,33,248\
187,George Hill\\hillge01,PG,32,CLE,10,10,265,50,90,.556,12,25,.480,38,65,.585,.622,14,16,.875,8,11,19,30,10,1,16,27,126\
188,Solomon Hill\\hillso01,SF,27,NOP,8,1,142,8,29,.276,3,14,.214,5,15,.333,.328,3,4,.750,2,15,17,14,6,3,5,11,22\
189,Aaron Holiday\\holidaa01,PG,22,IND,5,0,16,2,6,.333,1,4,.250,1,2,.500,.417,0,0,,0,1,1,2,0,0,3,2,5\
190,Jrue Holiday\\holidjr01,SG,28,NOP,12,12,434,83,182,.456,13,57,.228,70,125,.560,.492,46,60,.767,13,43,56,106,20,8,44,29,225\
191,Justin Holiday\\holidju01,SG,29,CHI,13,13,465,53,130,.408,36,94,.383,17,36,.472,.546,9,10,.900,3,47,50,30,21,7,8,32,151\
192,John Holland\\hollajo02,SF,30,CLE,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0\
193,Rondae Hollis-Jefferson\\holliro01,SF,24,BRK,10,0,203,35,89,.393,1,11,.091,34,78,.436,.399,13,22,.591,8,41,49,15,6,6,7,14,84\
194,Richaun Holmes\\holmeri01,C,25,PHO,11,0,100,12,22,.545,0,0,,12,22,.545,.545,4,7,.571,14,23,37,4,3,6,9,18,28\
195,Rodney Hood\\hoodro01,SG,26,CLE,12,12,327,57,131,.435,12,31,.387,45,100,.450,.481,29,31,.935,4,29,33,27,10,1,8,30,155\
196,Al Horford\\horfoal01,C,32,BOS,13,13,393,62,140,.443,16,58,.276,46,82,.561,.500,14,22,.636,24,56,80,49,10,20,21,23,154\
197,Dwight Howard\\howardw01,C,33,WAS,5,5,146,22,37,.595,0,0,,22,37,.595,.595,17,28,.607,16,32,48,3,4,2,8,18,61\
198,Kevin Huerter\\huertke01,SG,20,ATL,12,1,214,21,55,.382,11,31,.355,10,24,.417,.482,7,8,.875,7,34,41,20,7,3,7,15,60\
199,Chandler Hutchison\\hutchch01,SF,22,CHI,12,3,226,24,51,.471,3,13,.231,21,38,.553,.500,9,16,.563,8,35,43,9,5,3,7,21,60\
200,Serge Ibaka\\ibakase01,C,29,TOR,13,8,345,94,161,.584,9,30,.300,85,131,.649,.612,27,37,.730,29,74,103,13,9,17,25,43,224\
201,Andre Iguodala\\iguodan01,SF,35,GSW,11,0,209,13,36,.361,4,15,.267,9,21,.429,.417,6,9,.667,5,22,27,31,9,7,11,15,36\
202,Ersan Ilyasova\\ilyaser01,PF,31,MIL,13,1,296,40,80,.500,14,36,.389,26,44,.591,.588,16,19,.842,21,64,85,19,9,3,9,41,110\
203,Joe Ingles\\inglejo01,SF,31,UTA,12,12,406,60,135,.444,32,82,.390,28,53,.528,.563,14,22,.636,3,49,52,53,20,3,32,29,166\
204,Brandon Ingram\\ingrabr01,SG,21,LAL,9,9,274,53,117,.453,6,17,.353,47,100,.470,.479,23,33,.697,9,30,39,16,6,9,24,27,135\
205,Kyrie Irving\\irvinky01,PG,26,BOS,12,12,392,95,204,.466,34,84,.405,61,120,.508,.549,28,33,.848,11,46,57,65,18,8,30,28,252\
206,Jonathan Isaac\\isaacjo01,SF,21,ORL,8,8,176,22,53,.415,5,19,.263,17,34,.500,.462,8,11,.727,11,32,43,4,6,8,6,17,57\
207,Wesley Iwundu\\iwundwe01,SF,24,ORL,9,5,167,15,47,.319,1,8,.125,14,39,.359,.330,14,18,.778,7,19,26,4,2,2,7,18,45\
208,Frank Jackson\\jacksfr01,PG,20,NOP,8,0,89,12,34,.353,6,16,.375,6,18,.333,.441,7,9,.778,0,4,4,5,2,0,2,11,37\
209,Jaren Jackson\\jacksja02,C,19,MEM,11,9,274,47,104,.452,5,26,.192,42,78,.538,.476,29,39,.744,16,33,49,14,11,17,15,41,128\
210,Josh Jackson\\jacksjo02,SG,21,PHO,12,3,217,35,85,.412,7,26,.269,28,59,.475,.453,8,15,.533,1,24,25,20,6,8,35,31,85\
211,Justin Jackson\\jacksju01,SF,23,SAC,13,2,292,34,83,.410,11,42,.262,23,41,.561,.476,8,11,.727,5,30,35,22,7,2,5,15,87\
212,Reggie Jackson\\jacksre01,PG,28,DET,12,12,358,61,166,.367,25,81,.309,36,85,.424,.443,44,53,.830,11,21,32,47,4,1,23,40,191\
213,LeBron James\\jamesle01,PF,34,LAL,13,13,455,126,250,.504,24,76,.316,102,174,.586,.552,67,91,.736,13,88,101,92,20,9,42,25,343\
214,Jonas Jerebko\\jerebjo01,PF,31,GSW,13,1,224,29,65,.446,12,33,.364,17,32,.531,.538,17,20,.850,14,42,56,20,6,2,11,33,87\
215,Alize Johnson\\johnsal02,PF,22,IND,3,0,9,1,2,.500,0,0,,1,2,.500,.500,0,2,.000,0,4,4,0,0,0,0,3,2\
