Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS\
410,Brad Wanamaker\\wanambr01,PG,29,BOS,2,0,6,2,4,.500,0,1,.000,2,3,.667,.500,2,2,1.000,0,1,1,0,0,0,1,0,6\
411,T.J. Warren\\warretj01,SF,25,PHO,11,4,289,63,133,.474,19,40,.475,44,93,.473,.545,31,34,.912,10,34,44,14,7,9,13,26,176\
412,Yuta Watanabe\\watanyu01,SG,24,MEM,1,0,5,0,0,,0,0,,0,0,,,2,2,1.000,0,2,2,0,0,0,1,0,2\
413,Thomas Welsh\\welshth01,C,22,DEN,3,0,7,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,2,2,2,0,0,0,1,0\
414,Russell Westbrook\\westbru01,PG,30,OKC,7,7,220,67,137,.489,2,20,.100,65,117,.556,.496,33,52,.635,7,51,58,62,15,1,29,21,169\
415,Derrick White\\whitede01,PG,24,SAS,2,2,46,4,12,.333,1,2,.500,3,10,.300,.375,5,6,.833,0,5,5,11,3,0,4,3,14\
416,Hassan Whiteside\\whiteha01,C,29,MIA,11,11,323,59,114,.518,1,7,.143,58,107,.542,.522,35,60,.583,44,127,171,7,4,39,21,33,154\
417,Andrew Wiggins\\wiggian01,SF,23,MIN,9,9,290,57,137,.416,19,48,.396,38,89,.427,.485,20,25,.800,4,29,33,17,16,5,13,24,153\
418,C.J. Williams\\willicj01,SG,28,MIN,5,0,53,5,14,.357,0,6,.000,5,8,.625,.357,0,0,,0,2,2,3,1,0,3,10,10\
419,Johnathan Williams\\willijo04,C,23,LAL,6,0,85,11,19,.579,0,0,,11,19,.579,.579,1,5,.200,11,10,21,4,1,3,2,19,23\
420,Kenrich Williams\\willike04,SF,24,NOP,5,0,27,2,5,.400,1,2,.500,1,3,.333,.500,0,0,,0,5,5,0,0,0,1,7,5\
421,Lou Williams\\willilo02,SG,32,LAC,12,0,310,73,172,.424,19,50,.380,54,122,.443,.480,58,62,.935,5,23,28,49,7,2,29,11,223\
422,Marvin Williams\\willima02,PF,32,CHO,13,13,298,38,96,.396,15,54,.278,23,42,.548,.474,7,12,.583,9,49,58,11,8,13,7,21,98\
423,Robert Williams\\williro04,C,21,BOS,5,0,15,2,2,1.000,0,0,,2,2,1.000,1.000,1,2,.500,3,1,4,1,0,3,0,4,5\
424,Troy Williams\\willitr02,SF,24,SAC,6,0,104,16,30,.533,6,13,.462,10,17,.588,.633,5,7,.714,2,14,16,5,2,2,2,17,43\
425,Justise Winslow\\winslju01,PF,22,MIA,8,5,235,31,87,.356,6,24,.250,25,63,.397,.391,15,23,.652,12,26,38,35,11,4,17,22,83\
426,Christian Wood\\woodch01,PF,23,MIL,3,0,15,1,4,.250,1,2,.500,0,2,.000,.375,3,4,.750,0,3,3,0,0,0,1,2,6\
427,Delon Wright\\wrighde01,PG,26,TOR,8,0,122,16,37,.432,4,12,.333,12,25,.480,.486,11,11,1.000,4,12,16,8,3,2,2,7,47\
428,Guerschon Yabusele\\yabusgu01,PF,23,BOS,7,0,23,2,7,.286,0,3,.000,2,4,.500,.286,0,0,,3,4,7,1,0,1,1,3,4\
429,Thaddeus Young\\youngth01,PF,30,IND,14,14,396,59,119,.496,3,17,.176,56,102,.549,.508,10,23,.435,25,50,75,20,19,6,17,28,131\
430,Trae Young\\youngtr01,PG,20,ATL,13,13,398,86,202,.426,23,81,.284,63,121,.521,.483,46,57,.807,9,34,43,106,5,4,52,23,241\
431,Cody Zeller\\zelleco01,C,26,CHO,13,13,305,47,82,.573,1,4,.250,46,78,.590,.579,25,28,.893,24,50,74,20,7,10,16,44,120\
432,Ante Zizic\\zizican01,C,22,CLE,10,0,79,14,25,.560,0,0,,14,25,.560,.560,12,16,.750,11,17,28,4,1,1,10,11,40\
433,Ivica Zubac\\zubaciv01,C,21,LAL,5,0,40,5,12,.417,0,0,,5,12,.417,.417,4,4,1.000,9,10,19,2,1,1,3,12,14\
